instant_hour,date,season_hour,year_hour,month_hour,holiday_hour,weekday_hour,workingday_hour,weather_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,count_hour,day_of_week,instant_day,season_day,year_day,month_day,hour,holiday_day,weekday_day,workingday_day,weather_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,count_day
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,1,Winter,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,2,Winter,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,3,Winter,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,4,Winter,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,5,Winter,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,6,Winter,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,7,Winter,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,8,Winter,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,9,Winter,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,10,Winter,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,11,Winter,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,12,Winter,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,13,Winter,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,14,Winter,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,15,Winter,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,16,Winter,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,17,Winter,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,18,Winter,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,19,Winter,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,20,Winter,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,21,Winter,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,22,Winter,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,23,Winter,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Sabtu,24,Winter,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Minggu,25,Winter,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Minggu,26,Winter,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
